__v,_id,countyName,district.districtName,district.id
0,628b540ee8716e1f3cade493,Penamacor,Castelo Branco,6287ec7082f4cfbcd7588696
0,628b5415e8716e1f3cade496,Proença-a-Nova,Castelo Branco,6287ec7082f4cfbcd7588696
0,628b5420e8716e1f3cade499,Sertã,Castelo Branco,6287ec7082f4cfbcd7588696
0,628b542ce8716e1f3cade49c,Vila de Rei,Castelo Branco,6287ec7082f4cfbcd7588696
0,628b544ce8716e1f3cade4a4,Vila Velha de Rodão,Castelo Branco,6287ec7082f4cfbcd7588696
0,628b54a5e8716e1f3cade4a7,Arganil,Coimbra,6287ec7982f4cfbcd7588698
0,628b54ade8716e1f3cade4aa,Cantanhede,Coimbra,6287ec7982f4cfbcd7588698
0,628b54b4e8716e1f3cade4ad,Coimbra,Coimbra,6287ec7982f4cfbcd7588698
0,628b54bbe8716e1f3cade4b0,Condeixa-a-Nova,Coimbra,6287ec7982f4cfbcd7588698
0,628b54c5e8716e1f3cade4b3,Figueira da Foz,Coimbra,6287ec7982f4cfbcd7588698
0,628b54cbe8716e1f3cade4b6,Góis,Coimbra,6287ec7982f4cfbcd7588698
0,628b54d0e8716e1f3cade4b9,Lousã,Coimbra,6287ec7982f4cfbcd7588698
0,628b54d7e8716e1f3cade4bc,Mira,Coimbra,6287ec7982f4cfbcd7588698
0,628b54dfe8716e1f3cade4bf,Miranda do Corvo,Coimbra,6287ec7982f4cfbcd7588698
0,628b54e7e8716e1f3cade4c2,Montemor-o-Velho,Coimbra,6287ec7982f4cfbcd7588698
0,628b54f3e8716e1f3cade4c5,Oliveira do Hospital,Coimbra,6287ec7982f4cfbcd7588698
0,628b54fbe8716e1f3cade4c8,Pampilhosa da Serra,Coimbra,6287ec7982f4cfbcd7588698
0,628b5502e8716e1f3cade4cb,Penacova,Coimbra,6287ec7982f4cfbcd7588698
0,628b5508e8716e1f3cade4ce,Penela,Coimbra,6287ec7982f4cfbcd7588698
0,628b550ee8716e1f3cade4d1,Soure,Coimbra,6287ec7982f4cfbcd7588698
0,628b5513e8716e1f3cade4d4,Tábua,Coimbra,6287ec7982f4cfbcd7588698
0,628b551ce8716e1f3cade4d7,Vila Nova de Poiares,Coimbra,6287ec7982f4cfbcd7588698
0,628b6769cc425001e96c652f,Alandroal,Évora,6287ecaa360c562985093e8a
